productId,name,quantity,category,subCategory
prod1548#prod104001000080,High-top sneakers,8,Shoes,Sneakers
prod1566#prod106041004115,Lace blouse,4,Clothing,Blouse
prod3214#prod117021007065,Leather belt,2,Accessories,Belts
prod1585#prod500001015120,Tailored waistcoat,71,Clothing,Waistcoat
prod1572#prod108001000090,Slim-fit jeans,3,Clothing,Jeans
prod2289#prod113111027070,Slim-fit chinos,5,Clothing,Chinos
prod3141#prod101121002050,Lace blouse,3,Clothing,Blouse
prod1538#prod102051009065,Logo-print belt,5,Accessories,Belts
prod1524#prod100051005070,Satin blouse,7,Clothing,Blouse
prod3150#prod102091003130,Embellished dress,1,Clothing,Dress
prod1520#prod100011001095,x Off White hooded jacket,9,Clothing,Jacket
prod1640#prod110001009065,Embellished shoulder bag,8,Accessories,Bags
prod1533#prod102001000120,x Off White hoodie,3,Clothing,Hoodie
prod3147#prod100151004100,High-top sneakers,6,Shoes,Sneakers
prod1529#prod101021002065,Slim-fit trousers,2,Clothing,Trousers
prod1527#prod101001000110,Tapered jeans,0,Clothing,Jeans
prod1548#prod104001000130,High-top sneakers,2,Shoes,Sneakers
prod3212#prod115031007085,Logo-print T-shirt,10,Clothing,T-shirt
prod3142#prod101131004110,Floral shirt dress,6,Clothing,Dress
prod1523#prod100041004090,Studded clutch bag,0,Accessories,Bags
prod2302#prod100101003100,Relaxed-fit jeans,9,Clothing,Jeans
prod1542#prod103031003120,Denim shirt dress,1,Clothing,Dress
prod3217#prod121001010085,High-top sneakers,9,Shoes,Sneakers
prod1530#prod101031003095,Sneakers,8,Shoes,Sneakers
prod3215#prod120001005065,Satin blazer,1,Clothing,Blazer
prod1560#prod105031003070,Tailored coat,2,Clothing,Coat
prod1567#prod107001000115,Floral shirt dress,1,Clothing,Dress
prod3146#prod100141002100,Low-top sneakers,10,Shoes,Sneakers
prod3165#prod114121062070,Leather ankle boots,0,Shoes,Boots
prod1642#prod112001010115,Silk camisole,1,Clothing,Camisole
prod3150#prod102091003080,Embellished dress,11,Clothing,Dress
prod3143#prod101141010085,Skinny jeans,4,Clothing,Jeans
prod1533#prod102001000090,x Off White hoodie,0,Clothing,Hoodie
prod3149#prod102081002070,Tapered jeans,7,Clothing,Jeans
prod2278#prod501151004207,Embellished tote bag,1,Accessories,Bags
prod1585#prod500001015090,Tailored waistcoat,525,Clothing,Waistcoat
prod2330#prod117001005110,Suede loafers,8,Shoes,Loafers
prod1572#prod108001000120,Slim-fit jeans,3,Clothing,Jeans
prod2297#prod114071022030,Leather sandals,6,Shoes,Sandals
prod1564#prod106021002105,Logo-print scarf,4,Accessories,Scarves
prod1536#prod102031003080,Leather ankle boots,10,Shoes,Boots
prod1574#prod108021002065,Logo-print hoodie,3,Clothing,Hoodie
prod1544#prod103051005085,Graphic T-shirt,3,Clothing,T-shirt
prod1540#prod103011001060,Silk blouse,4,Clothing,Blouse
prod3151#prod102101004120,Logo-print T-shirt,2,Clothing,T-shirt
prod1528#prod101011001070,Logo-print T-shirt,6,Clothing,T-shirt
prod2284#prod113061003120,Logo-print shorts,5,Clothing,Shorts
prod1521#prod100021002130,Suede ankle boots,1,Shoes,Boots
prod1522#prod100031003065,Leather belt,14,Accessories,Belts
prod1531#prod101041004060,Tailored blazer,7,Clothing,Blazer
prod1526#prod100071007080,Striped shirt dress,10,Clothing,Dress
prod1540#prod103011001050,Silk blouse,2,Clothing,Blouse
prod3151#prod102101004110,Logo-print T-shirt,6,Clothing,T-shirt
prod3218#prod121011003105,Studded clutch bag,0,Accessories,Bags
prod2298#prod114081025080,Logo-print baseball cap,6,Accessories,Caps
prod2304#prod101091003090,Straight-leg trousers,5,Clothing,Trousers
prod2303#prod100111000075,Graphic T-shirt,0,Clothing,T-shirt
prod2284#prod113061003110,Logo-print shorts,5,Clothing,Shorts
prod3144#prod100161004085,Graphic hoodie,0,Clothing,Hoodie
prod3161#prod112031058065,Logo-print hoodie,4,Clothing,Hoodie
prod1595#prod115011003065,Logo-print cap,3,Accessories,Caps
prod2301#prod114111010090,Striped shirt dress,44,Clothing,Dress
prod1565#prod106031003090,Embellished clutch bag,10,Accessories,Bags
prod1521#prod100021002100,Suede ankle boots,18,Shoes,Boots
prod1594#prod115001005065,Leather loafers,6,Shoes,Loafers
prod2280#prod501101021201,Checked shirt,17,Clothing,Shirt
prod1539#prod103001000105,Embroidered clutch bag,4,Accessories,Bags
prod1531#prod101041004050,Tailored blazer,1,Clothing,Blazer
prod1548#prod104001000100,High-top sneakers,4,Shoes,Sneakers
prod1527#prod101001000120,Tapered jeans,0,Clothing,Jeans
prod3147#prod100151004130,High-top sneakers,0,Shoes,Sneakers
prod3146#prod100141002130,Low-top sneakers,2,Shoes,Sneakers
prod3165#prod114121062040,Leather ankle boots,0,Shoes,Boots
prod1542#prod103031003110,Denim shirt dress,4,Clothing,Dress
prod3142#prod101131004120,Floral shirt dress,0,Clothing,Dress
prod2302#prod100101003130,Relaxed-fit jeans,6,Clothing,Jeans
prod1520#prod100011001115,x Off White hooded jacket,9,Clothing,Jacket
prod3169#prod114511011625,Embroidered dress,0,Clothing,Dress
prod2277#prod501141003203,Logo-print beanie,19,Accessories,Beanies
prod2183#prod501071018207,Graphic sweatshirt,5,Clothing,Sweatshirt
prod1562#prod106001000070,x Off White bomber jacket,4,Clothing,Jacket
prod2330#prod117001005120,Suede loafers,0,Shoes,Loafers
prod1572#prod108001000110,Slim-fit jeans,0,Clothing,Jeans
prod3169#prod114511011633,Embroidered dress,5,Clothing,Dress
prod1566#prod106041004095,Lace blouse,4,Clothing,Blouse
prod1563#prod106011001065,Suede loafers,5,Shoes,Loafers
prod3146#prod100141002080,Low-top sneakers,8,Shoes,Sneakers
prod1519#prod100001000060,Straight-leg tailored trousers,6,Clothing,Tailored Pants
prod1567#prod107001000095,Floral shirt dress,0,Clothing,Dress
prod3217#prod121001010105,High-top sneakers,3,Shoes,Sneakers
prod1530#prod101031003115,Sneakers,6,Shoes,Sneakers
prod3142#prod101131004090,Floral shirt dress,11,Clothing,Dress
prod1523#prod100041004110,Studded clutch bag,2,Accessories,Bags
prod2302#prod100101003080,Relaxed-fit jeans,23,Clothing,Jeans
prod3212#prod115031007105,Logo-print T-shirt,4,Clothing,T-shirt
prod2276#prod501131002204,Suede sandals,13,Shoes,Sandals
prod1527#prod101001000090,Tapered jeans,20,Clothing,Jeans
prod3147#prod100151004080,High-top sneakers,3,Shoes,Sneakers
prod3141#prod101121002060,Lace blouse,1,Clothing,Blouse
prod2330#prod117001005090,Suede loafers,3,Shoes,Loafers
prod1585#prod500001015110,Tailored waistcoat,200,Clothing,Waistcoat
prod2329#prod100121010070,x Off White bomber jacket,15,Clothing,Jacket
prod3143#prod101141010105,Skinny jeans,0,Clothing,Jeans
prod1533#prod102001000110,x Off White hoodie,6,Clothing,Hoodie
prod2305#prod101101000075,High-top sneakers,3,Shoes,Sneakers
prod3150#prod102091003100,Embellished dress,12,Clothing,Dress
prod1642#prod112001010095,Silk camisole,0,Clothing,Camisole
